case_id,text,district_id,crime_subhead_id,date,case_status_id
1,"Case 1 (Crime No: 100100050202611890): Assault on Woman reported near Davanagere PS-5 jurisdiction. Registered on 2026-01-24. District ID 10, Police Station ID 50. Case status ID: 1. Gravity ID: 1.",10,7,2026-01-24,1
2,"Case 2 (Crime No: 100020005202502263): Dowry Harassment reported near Mysuru PS-1 jurisdiction. Registered on 2025-09-08. District ID 2, Police Station ID 5. Case status ID: 1. Gravity ID: 1.",2,8,2025-09-08,1
3,"Case 3 (Crime No: 100020008202509231): Dowry Harassment reported near Mysuru PS-4 jurisdiction. Registered on 2025-11-05. District ID 2, Police Station ID 8. Case status ID: 1. Gravity ID: 1.",2,8,2025-11-05,1
4,"Case 4 (Crime No: 100100050202414405): Dowry Harassment reported near Davanagere PS-5 jurisdiction. Registered on 2024-07-29. District ID 10, Police Station ID 50. Case status ID: 2. Gravity ID: 1.",10,8,2024-07-29,2
5,"Case 5 (Crime No: 100060025202406893): Drug Peddling reported near Kalaburagi PS-2 jurisdiction. Registered on 2024-02-24. District ID 6, Police Station ID 25. Case status ID: 1. Gravity ID: 1.",6,11,2024-02-24,1
6,"Case 6 (Crime No: 100030010202611294): Attempt to Murder reported near Mangaluru PS-2 jurisdiction. Registered on 2026-06-07. District ID 3, Police Station ID 10. Case status ID: 3. Gravity ID: 1.",3,3,2026-06-07,3
7,"Case 7 (Crime No: 100100050202610619): Attempt to Murder reported near Davanagere PS-5 jurisdiction. Registered on 2026-04-24. District ID 10, Police Station ID 50. Case status ID: 2. Gravity ID: 1.",10,3,2026-04-24,2
8,"Case 8 (Crime No: 100010002202602043): Chain Snatching reported near Bengaluru PS-2 jurisdiction. Registered on 2026-05-19. District ID 1, Police Station ID 2. Case status ID: 1. Gravity ID: 1.",1,6,2026-05-19,1
9,"Case 9 (Crime No: 100070034202517046): Murder reported near Ballari PS-5 jurisdiction. Registered on 2025-06-20. District ID 7, Police Station ID 34. Case status ID: 2. Gravity ID: 1.",7,1,2025-06-20,2
10,"Case 10 (Crime No: 100010004202500201): Chain Snatching reported near Bengaluru PS-4 jurisdiction. Registered on 2025-04-03. District ID 1, Police Station ID 4. Case status ID: 3. Gravity ID: 2.",1,6,2025-04-03,3
11,"Case 11 (Crime No: 100050023202417750): Rioting reported near Hubballi-Dharwad PS-5 jurisdiction. Registered on 2024-04-26. District ID 5, Police Station ID 23. Case status ID: 4. Gravity ID: 1.",5,13,2024-04-26,4
12,"Case 12 (Crime No: 100010003202605885): Online Financial Fraud reported near Bengaluru PS-3 jurisdiction. Registered on 2026-02-10. District ID 1, Police Station ID 3. Case status ID: 1. Gravity ID: 2.",1,9,2026-02-10,1
13,"Case 13 (Crime No: 100040015202613648): Rioting reported near Belagavi PS-1 jurisdiction. Registered on 2026-01-08. District ID 4, Police Station ID 15. Case status ID: 4. Gravity ID: 1.",4,13,2026-01-08,4
14,"Case 14 (Crime No: 100020005202517313): Drug Possession reported near Mysuru PS-1 jurisdiction. Registered on 2025-03-13. District ID 2, Police Station ID 5. Case status ID: 3. Gravity ID: 2.",2,12,2025-03-13,3
15,"Case 15 (Crime No: 100030013202612603): House Burglary reported near Mangaluru PS-5 jurisdiction. Registered on 2026-02-14. District ID 3, Police Station ID 13. Case status ID: 3. Gravity ID: 1.",3,4,2026-02-14,3
16,"Case 16 (Crime No: 100080038202514702): Attempt to Murder reported near Tumakuru PS-4 jurisdiction. Registered on 2025-11-14. District ID 8, Police Station ID 38. Case status ID: 3. Gravity ID: 1.",8,3,2025-11-14,3
17,"Case 17 (Crime No: 100030012202608824): Vehicle Theft reported near Mangaluru PS-4 jurisdiction. Registered on 2026-02-25. District ID 3, Police Station ID 12. Case status ID: 2. Gravity ID: 1.",3,5,2026-02-25,2
18,"Case 18 (Crime No: 100010002202407156): Chain Snatching reported near Bengaluru PS-2 jurisdiction. Registered on 2024-09-18. District ID 1, Police Station ID 2. Case status ID: 1. Gravity ID: 2.",1,6,2024-09-18,1
19,"Case 19 (Crime No: 100020006202505576): Dowry Harassment reported near Mysuru PS-2 jurisdiction. Registered on 2025-09-13. District ID 2, Police Station ID 6. Case status ID: 1. Gravity ID: 1.",2,8,2025-09-13,1
20,"Case 20 (Crime No: 100100046202511326): Chain Snatching reported near Davanagere PS-1 jurisdiction. Registered on 2025-07-03. District ID 10, Police Station ID 46. Case status ID: 2. Gravity ID: 2.",10,6,2025-07-03,2
21,"Case 21 (Crime No: 100030009202405775): Vehicle Theft reported near Mangaluru PS-1 jurisdiction. Registered on 2024-06-30. District ID 3, Police Station ID 9. Case status ID: 3. Gravity ID: 2.",3,5,2024-06-30,3
22,"Case 22 (Crime No: 100050020202416641): Drug Peddling reported near Hubballi-Dharwad PS-2 jurisdiction. Registered on 2024-09-14. District ID 5, Police Station ID 20. Case status ID: 1. Gravity ID: 2.",5,11,2024-09-14,1
23,"Case 23 (Crime No: 100090043202515752): Attempt to Murder reported near Shivamogga PS-3 jurisdiction. Registered on 2025-05-17. District ID 9, Police Station ID 43. Case status ID: 2. Gravity ID: 1.",9,3,2025-05-17,2
24,"Case 24 (Crime No: 100010001202508111): Chain Snatching reported near Bengaluru PS-1 jurisdiction. Registered on 2025-08-22. District ID 1, Police Station ID 1. Case status ID: 2. Gravity ID: 2.",1,6,2025-08-22,2
25,"Case 25 (Crime No: 100010004202506425): Chain Snatching reported near Bengaluru PS-4 jurisdiction. Registered on 2025-06-17. District ID 1, Police Station ID 4. Case status ID: 1. Gravity ID: 2.",1,6,2025-06-17,1
26,"Case 26 (Crime No: 100020005202502492): Dowry Harassment reported near Mysuru PS-1 jurisdiction. Registered on 2025-03-22. District ID 2, Police Station ID 5. Case status ID: 3. Gravity ID: 1.",2,8,2025-03-22,3
27,"Case 27 (Crime No: 100070033202407668): Rioting reported near Ballari PS-4 jurisdiction. Registered on 2024-05-10. District ID 7, Police Station ID 33. Case status ID: 2. Gravity ID: 1.",7,13,2024-05-10,2
28,"Case 28 (Crime No: 100070033202402840): Rioting reported near Ballari PS-4 jurisdiction. Registered on 2024-11-20. District ID 7, Police Station ID 33. Case status ID: 1. Gravity ID: 2.",7,13,2024-11-20,1
29,"Case 29 (Crime No: 100100049202614066): Online Financial Fraud reported near Davanagere PS-4 jurisdiction. Registered on 2026-03-24. District ID 10, Police Station ID 49. Case status ID: 4. Gravity ID: 1.",10,9,2026-03-24,4
30,"Case 30 (Crime No: 100040015202517455): Chain Snatching reported near Belagavi PS-1 jurisdiction. Registered on 2025-07-17. District ID 4, Police Station ID 15. Case status ID: 3. Gravity ID: 2.",4,6,2025-07-17,3
31,"Case 31 (Crime No: 100070031202516642): House Burglary reported near Ballari PS-2 jurisdiction. Registered on 2025-12-13. District ID 7, Police Station ID 31. Case status ID: 2. Gravity ID: 2.",7,4,2025-12-13,2
32,"Case 32 (Crime No: 100030014202508150): Vehicle Theft reported near Mangaluru PS-6 jurisdiction. Registered on 2025-04-26. District ID 3, Police Station ID 14. Case status ID: 2. Gravity ID: 2.",3,5,2025-04-26,2
33,"Case 33 (Crime No: 100030012202505462): Vehicle Theft reported near Mangaluru PS-4 jurisdiction. Registered on 2025-09-14. District ID 3, Police Station ID 12. Case status ID: 2. Gravity ID: 2.",3,5,2025-09-14,2
34,"Case 34 (Crime No: 100010001202508661): Chain Snatching reported near Bengaluru PS-1 jurisdiction. Registered on 2025-07-02. District ID 1, Police Station ID 1. Case status ID: 3. Gravity ID: 1.",1,6,2025-07-02,3
35,"Case 35 (Crime No: 100020007202617207): Vehicle Theft reported near Mysuru PS-3 jurisdiction. Registered on 2026-05-25. District ID 2, Police Station ID 7. Case status ID: 2. Gravity ID: 2.",2,5,2026-05-25,2
36,"Case 36 (Crime No: 100010001202503092): Online Financial Fraud reported near Bengaluru PS-1 jurisdiction. Registered on 2025-08-08. District ID 1, Police Station ID 1. Case status ID: 2. Gravity ID: 1.",1,9,2025-08-08,2
